id,dimension,tematica,indicador,fuente_registrada,polaridad_actual,polaridad_propuesta,confianza_polaridad,justificacion_polaridad,periodicidad_propuesta,confianza_periodicidad,justificacion_periodicidad,ultima_referencia_en_fuente,proxima_actualizacion,estado_fecha,url_oficial,fecha_revision
1,"Demográfica y Social",Población,"Población total según sexo","INEGI. Censo de Población y Vivienda 2020.1",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
2,"Demográfica y Social",Población,"Población por grupos de edad según sexo","INEGI. Censo de Población y Vivienda 2020.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
3,"Demográfica y Social",Población,"Relación hombres-mujeres","INEGI. Censo de Población y Vivienda 2010, 2015 y 2020.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
4,"Demográfica y Social",Población,"Concentración de población por localidad","INEGI. Censo de Población y Vivienda 2020.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
5,"Demográfica y Social",Fecundidad,"Nacimientos registrados por sexo","INEGI. Estadística de Nacimientos Registrados 2021, 2022, 2023 y 2024.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Anual,media,"La estadística de nacimientos registrados se publica anualmente.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
6,"Demográfica y Social",Fecundidad,"Tasa de natalidad","Elaboración propia con base en datos del INEGI. Estadística de Nacimientos Registrados (ENR) 2021, 2022, 2023 y 2024. Reconstrucción y proyecciones de la población de los municipios 1990 - 2040.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Anual,media,"La estadística de nacimientos registrados se publica anualmente.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
7,"Demográfica y Social",Fecundidad,"Tasa de fecundidad general","Elaboración propia con base en datos del INEGI. Estadística de Nacimientos Registrados (ENR) 2021, 2022, 2023 y 2024. Reconstrucción y proyecciones de la población de los municipios 1990 - 2040.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Anual,media,"La estadística de nacimientos registrados se publica anualmente.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
8,"Demográfica y Social",Nupcial,Matrimonios,"INEGI. Estadística de Matrimonios (EMAT) 2021, 2022, 2023 y 2024.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Anual,media,"La estadística de matrimonios se publica anualmente.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
9,"Demográfica y Social",Nupcial,Divorcios,"INEGI. Estadística de Divorcios (ED) 2021, 2022, 2023 y 2024.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Anual,media,"La estadística de divorcios se publica anualmente.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
10,"Demográfica y Social",Nupcial,"Tasa de nupcialidad","Elaboración propia con base en datos del INEGI. Estadística de Matrimonios (EMAT) 2021, 2022, 2023 y 2024. Reconstrucción y proyecciones de la población de los municipios 1990 - 2040.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Anual,media,"La estadística de matrimonios se publica anualmente.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
11,"Demográfica y Social",Nupcial,"Tasa de divorcialidad","Elaboración propia con base en datos del INEGI. Estadística de Divorcios (ED) 2021, 2022, 2023 y 2024. Reconstrucción y proyecciones de la población de los municipios 1990 - 2040.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Anual,media,"La estadística de divorcios se publica anualmente.",2024,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
12,"Demográfica y Social","Estructura de los hogares","Población en hogares censales","INEGI. Censo de Población y Vivienda 2020.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
13,"Demográfica y Social","Estructura de los hogares","Hogares censales","INEGI. Censo de Población y Vivienda 2020.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
14,"Demográfica y Social","Estructura de los hogares","Porcentaje de hogares con personas de referencia mujer","INEGI. Censo de Población y Vivienda 2020.",neutro,neutro,alta,"Indicador descriptivo, estructural o sin dirección normativa inequívoca.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
15,"Demográfica y Social",Educación,"Porcentaje de personas de 15 años y más alfabetas","INEGI. Censo de Población y Vivienda 2010, 2015 y 2020.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
16,"Demográfica y Social",Educación,"Grado promedio de escolaridad de la población de 15 y más años","INEGI. Censo de Población y Vivienda 2010, 2015 y 2020.",neutro,asendente,media,"Un valor mayor suele representar mayor cobertura, capacidad o resultado favorable.",Decenal,media,"El Censo de Población y Vivienda tiene periodicidad decenal; cortes intercensales deben documentarse.",2020,,"Por confirmar con calendario oficial",https://www.inegi.org.mx/,2026-07-22
17,"Demográfica y Social",Educación,"Porcentaje de población con rezago educativo","CONEVAL. Pobreza municipal 2010, 2015 y 2020.",neutro,descendente,media,"Un valor menor suele representar menor carencia, riesgo o presión desfavorable.",Quinquenal,media,"CONEVAL publica mediciones municipales por cortes quinquenales.",2020,,"Por confirmar con calendario oficial",https://www.coneval.org.mx/,2026-07-22
